[V2 - 2026-04-22T23:32:31.517Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:31.599Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:31.646Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:31.735Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:31.991Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:32.037Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:32.107Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:32:32.157Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:54.608Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:54.665Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:54.707Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:54.778Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:54.834Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:54.885Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:54.937Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:54.985Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:55.033Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:55.135Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:55.190Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:55.694Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:55.779Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:55.833Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:55.879Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:55.936Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:55.986Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:56.040Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:56.126Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:56.310Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:56.517Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:56.578Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
[V2 - 2026-04-22T23:33:56.641Z] Phase: Acumulação 1 (ea1cc646-6744-4ce5-b9d1-88a6543d912b), Sessions: 0
